x-Cordinates, y-Cordinates, time left, found_time
45.75707,5.106744,9.96524,00:00:02
44.66478,2.9525,10.26943,00:00:02.5000000
45.61394,2.483981,10.43806,00:00:02.5000000
47.77496,2.883392,10.46445,00:00:02.5000000
50.9434,3.932864,10.56457,00:00:02.5000000
43.16907,2.903481,10.66743,00:00:02.5000000
50.22303,2.826447,10.66743,00:00:02.5000000
49.12769,2.120381,10.66743,00:00:02.5000000
44.55729,0.5422223,10.76363,00:00:02.5000000
45.33469,0.02596597,11.12921,00:00:02.5000000
48.38127,-0.04807894,11.12921,00:00:02.5000000
47.4267,0.00052083,20.27491,00:00:05
43.46107,-0.8569308,20.72878,00:00:05
42.8119,-1.650177,20.86798,00:00:05
43.79063,-1.830462,20.86798,00:00:05
46.94173,0.04753554,39.51303,00:00:09.5000000
38.94949,-8.869184,47.12798,00:00:11.5000000
