x-Cordinates, y-Cordinates, time left, found_time
561.3833,25.80489,0.05712509,00:00:16.7962038
559.7269,3.583613,0.287365,00:00:16.8201603
246.1282,362.6256,20.67195,00:00:18.8649350
473.4302,456.8904,25.89474,00:00:19.3914362
479.7953,461.1886,26.64192,00:00:19.4565053
473.8932,420.7272,32.30759,00:00:20.0210329
479.5116,437.4398,34.06763,00:00:20.1982167
489.5704,554.0198,38.30573,00:00:20.6208102
199.3583,440.5493,46.48961,00:00:27.4385327
203.9782,429.7915,46.88988,00:00:27.4805724
211.1685,441.8381,47.67113,00:00:27.5568157
233.9159,468.7569,51.08104,00:00:27.8980252
247.1493,469.7128,52.08147,00:00:27.9988699
556.2845,92.04282,55.27515,00:00:28.3181689
497.5883,469.3408,56.63304,00:00:28.4573797
514.7724,434.621,0.2904968,00:00:28.8207193
518.5183,425.5004,1.281021,00:00:28.9198120
549.9157,409.875,4.495758,00:00:29.2471188
534.8173,399.2712,4.693619,00:00:29.2671380
241.4929,420.6116,19.8866,00:00:30.7785526
249.7038,408.9737,20.08984,00:00:30.7995728
239.5255,407.28,20.69154,00:00:30.8596284
1948.5,861.2052,36.68546,00:00:32.4601253
1351.704,1551.62,48.50684,00:00:33.6414248
2153.715,422.6362,57.66788,00:00:34.5572811
2335.906,125.9873,4.099838,00:00:35.2031025
2329.86,112.8358,4.429352,00:00:35.2371340
2317.125,408.0413,5.833801,00:00:35.3772670
2320.089,410.4188,6.21315,00:00:35.4173028
2324.771,402.8133,7.071838,00:00:35.4997395
2337.195,411.6852,8.094116,00:00:35.6027193
2338.198,416.3357,8.24939,00:00:35.6167337
2375.591,1054.523,24.0925,00:00:37.6249096
2179.463,450.1994,24.0925,00:00:37.6254231
2188.451,434.5457,25.85834,00:00:37.8005806
2422.369,1052.652,28.69473,00:00:38.0848536
2430.597,1061.201,29.65036,00:00:38.1804764
2440.236,1055.201,30.7005,00:00:38.2845726
2479.059,1049.848,34.86374,00:00:38.7009686
2528.749,1055.765,39.49451,00:00:39.1660406
2297.067,455.4523,52.09137,00:00:40.4256893
2207.165,452.8151,14.68469,00:00:42.6868835
318.4843,413.466,20.68039,00:00:43.2844428
316.3632,419.5953,21.27557,00:00:43.3450978
2337.602,439.8438,33.46872,00:00:44.5618389
2335.178,479.0036,37.67715,00:00:44.9822099
2336.431,491.9548,39.09503,00:00:45.1243425
502.4175,86.76694,39.09503,00:00:45.1253430
501.2299,88.29012,39.29874,00:00:45.1453634
521.5579,501.4676,43.06375,00:00:45.5213793
1224.87,1458.034,48.69507,00:00:46.1065961
1913.108,869.2011,52.26428,00:00:52.4422620
2355.39,137.911,53.29224,00:00:52.5443575
2392.94,137.9581,57.08844,00:00:52.9287629
2334.068,138.1031,15.68985,00:00:54.7852042
2353.173,158.9998,37.49896,00:00:56.9655430
2396.079,1103.543,59.90213,00:00:59.2054319
2392.592,1070.71,2.904114,00:00:59.5102267
2363.804,1015.621,9.05899,00:01:00.1228146
2351.832,997.7596,11.87723,00:01:00.4033384
2245.066,399.9995,19.05029,00:01:01.1223249
2427.218,1077.486,25.10422,00:01:01.7272985
1243.213,1493.783,26.47034,00:01:07.8653823
1244.015,1479.667,29.49719,00:01:08.1662788
2323.997,377.1832,6.215759,00:01:11.8621289
2314.101,310.6707,13.0658,00:01:12.5451770
2437.504,1017.069,16.66632,00:01:12.9053591
2349.87,498.4645,30.08594,00:01:20.2482019
2338.785,503.4766,30.69202,00:01:20.3092586
1944.515,882.4152,43.90027,00:01:21.6280986
561.0585,466.6159,28.10199,00:01:32.0478510
523.5693,392.2082,36.26349,00:01:32.8633887
509.1566,393.8965,37.05127,00:01:32.9434655
1883.559,820.3056,2.28595,00:01:35.4661643
265.6082,415.7968,7.501831,00:01:53.9881240
292.1648,421.2642,10.90417,00:01:54.3283947
300.086,414.112,11.46521,00:01:54.3834449
303.0722,422.7294,12.08655,00:01:54.4455027
314.0204,426.1075,13.50708,00:01:54.5901812
332.0972,425.9495,8.088013,00:02:06.0515486
512.036,5.492352,53.45532,00:02:10.5846515
526.6901,23.31381,54.69702,00:02:10.7086275
572.2301,27.74935,59.44836,00:02:11.1858513
495.5204,90.39014,8.462891,00:02:12.0855960
556.1749,-20.46001,23.88062,00:02:13.6281386
532.6603,45.46708,41.47351,00:02:21.3860914
2295.032,417.6357,0.4614258,00:02:23.2845094
560.3562,467.0611,44.89734,00:02:27.7332300
248.0968,444.3379,15.67859,00:02:48.8069076
2442.37,1069.748,28.29224,00:04:32.0726451
