x-Cordinates, y-Cordinates, time left, found_time
226.4392,422.809,53.2944,00:00:05.3308502
232.7769,434.2633,54.30455,00:00:05.4319510
522.5341,29.3941,4.502777,00:00:06.4519407
524.0989,29.6622,4.681892,00:00:06.4699588
529.4041,18.67025,4.681892,00:00:06.4709594
541.8531,22.37239,6.103485,00:00:06.6120962
539.8838,30.25291,6.286842,00:00:06.6311140
347.6893,160.4359,15.28732,00:00:07.5319939
254.7124,410.2642,33.06748,00:00:09.3100731
251.7448,422.2133,33.29069,00:00:09.3320938
249.5602,423.6429,33.44367,00:00:09.3471084
258.6924,421.46,33.88259,00:00:09.3929365
269.2632,400.6234,34.86183,00:00:09.4890639
273.8472,416.9546,35.22931,00:00:09.5331050
276.793,412.3781,35.46701,00:00:09.5561287
283.6432,421.5283,36.44934,00:00:09.6482189
282.2186,425.2583,36.44934,00:00:09.6492213
281.7997,424.3557,36.44934,00:00:09.6492213
288.1597,422.1545,36.86307,00:00:09.6900763
291.4931,424.874,37.48245,00:00:09.7511361
375.3755,158.0338,37.70784,00:00:09.7761603
362.8574,169.6531,39.27224,00:00:09.9312209
688.4077,435.4275,39.65654,00:00:09.9682576
692.0612,448.7059,40.05537,00:00:10.0082961
664.7482,421.9238,40.29952,00:00:10.0333216
700.7542,433.664,41.06651,00:00:10.1104963
897.9779,46.28351,42.49378,00:00:10.2556366
339.928,886.5383,42.7049,00:00:10.2746565
900.7146,56.16871,43.03696,00:00:10.3096936
698.3357,426.2275,44.22201,00:00:10.4328091
756.6501,481.8177,47.86063,00:00:10.7911569
359.9481,132.3136,51.05874,00:00:11.1124688
25.98088,927.4411,57.02332,00:00:11.7070478
504.5935,57.16253,58.03681,00:00:11.8091473
335.5816,925.7186,58.23962,00:00:11.8281650
30.75158,943.5084,58.23962,00:00:11.8291659
21.80734,940.7111,58.50064,00:00:11.8541907
511.3621,58.0581,58.88925,00:00:11.8942307
27.11172,954.3124,59.43127,00:00:11.9482824
17.3183,948.2361,59.43127,00:00:11.9482824
332.5136,942.5644,0.07657623,00:00:12.0123445
13.30046,974.6008,1.88533,00:00:12.1955225
907.243,59.74359,3.640327,00:00:12.3686915
252.2589,422.3842,3.640327,00:00:12.3696924
255.3002,426.7519,3.640327,00:00:12.3696924
-1.751706,986.0065,3.829895,00:00:12.3877099
918.7405,62.51458,4.485916,00:00:12.4527726
922.8426,60.06656,4.878075,00:00:12.4948122
527.6567,35.83336,4.878075,00:00:12.4948122
921.9017,56.36453,5.102036,00:00:12.5148339
925.0353,61.29158,5.102036,00:00:12.5148339
929.0638,61.75819,5.463684,00:00:12.5518698
544.1852,45.9861,5.463684,00:00:12.5518698
237.7392,428.4729,5.463684,00:00:12.5528701
234.8321,420.7366,5.463684,00:00:12.5528701
922.5964,46.54549,5.858521,00:00:12.5909071
350.8565,124.0314,6.831383,00:00:12.6890016
439.7669,882.6395,9.425812,00:00:12.9482544
323.9952,948.6923,10.09352,00:00:13.0143189
330.9754,940.9279,10.468,00:00:13.0523550
330.3373,939.1417,10.66849,00:00:13.0723752
327.6293,929.5351,11.83537,00:00:13.1884884
329.8868,928.4742,11.83537,00:00:13.1894884
333.0877,923.7104,12.24496,00:00:13.2295281
328.3383,925.3746,12.24496,00:00:13.2295281
405.9378,877.1752,13.03073,00:00:13.3096039
329.915,911.9525,13.63083,00:00:13.3686617
319.2329,913.2051,13.83136,00:00:13.3886821
332.2882,905.2565,14.45105,00:00:13.4507434
314.7038,910.3105,14.67101,00:00:13.4727638
391.6961,896.7226,14.67101,00:00:13.4737641
382.6527,876.4258,15.27574,00:00:13.5328228
310.2111,935.5689,21.88139,00:00:14.1964662
-2.234568,934.0505,22.25801,00:00:14.2335373
-0.1877787,933.806,22.25801,00:00:14.2345029
2.223259,947.2614,24.08575,00:00:14.4166831
906.8381,38.03464,24.65388,00:00:14.4727361
902.8318,28.6405,25.08284,00:00:14.5147833
541.1002,60.93697,28.98672,00:00:14.9081674
928.4315,71.06976,35.44058,00:00:15.5510081
7.14724,957.2002,36.00171,00:00:15.6081198
944.3338,54.77434,36.68173,00:00:15.6751289
962.6136,57.61687,40.20821,00:00:16.0294717
925.7105,93.74493,46.60445,00:00:16.6710962
342.4957,142.7865,47.09766,00:00:16.7161402
434.6859,868.0217,48.55696,00:00:16.8732919
27.39119,922.2919,0.2075653,00:00:18.0314189
543.5098,64.38033,9.647354,00:00:18.9793392
929.1707,90.06242,20.60942,00:00:20.0711240
249.9231,433.8203,26.09735,00:00:20.6216577
737.3687,500.448,35.30083,00:00:21.5385509
766.1446,490.1182,45.28807,00:00:22.5385211
762.5704,492.1743,45.80814,00:00:22.5915731
825.5607,531.0715,54.61533,00:00:23.4724289
5.492807,951.4368,33.39737,00:00:27.3537230
13.32045,936.1324,33.88763,00:00:27.3997676
19.19506,918.7233,15.62473,00:00:31.5752013
