x-Cordinates, y-Cordinates, time left, found_time
226.2767,422.9628,52.49888,00:00:05.2546531
232.7769,434.2633,54.28416,00:00:05.4328506
521.1144,29.17829,4.123878,00:00:06.4159478
524.0345,29.37224,4.299561,00:00:06.4339248
531.0424,19.12289,4.699913,00:00:06.4739676
541.3873,22.15198,5.907974,00:00:06.5961038
540.0086,30.18925,6.104301,00:00:06.6151237
346.1724,135.1072,14.10035,00:00:07.4151423
349.8369,125.0313,14.49242,00:00:07.4531842
359.1033,134.1379,15.46733,00:00:07.5532960
509.791,52.0164,20.69088,00:00:08.0728768
259.1537,397.2137,20.69088,00:00:08.0738766
262.1219,408.7168,22.33453,00:00:08.2380599
542.4089,43.41921,23.25416,00:00:08.3331657
548.192,54.26388,24.13011,00:00:08.4182604
536.4872,65.33572,24.13011,00:00:08.4192624
374.2421,160.6721,24.50999,00:00:08.4563026
663.4467,427.5271,36.92212,00:00:09.6966855
319.1948,903.5864,38.89798,00:00:09.8949072
687.6573,434.0116,39.6899,00:00:09.9739953
287.0509,422.8348,39.6899,00:00:09.9739953
287.1734,424.9396,39.6899,00:00:09.9749954
286.2571,415.1816,39.91949,00:00:09.9970201
328.65,909.5245,40.09561,00:00:10.0150402
283.6394,424.2534,40.09561,00:00:10.0150402
386.8213,863.682,40.32578,00:00:10.0370659
694.5302,437.8003,40.32578,00:00:10.0380654
282.1817,429.2254,40.32578,00:00:10.0380654
277.778,416.2037,40.73299,00:00:10.0781102
275.2896,416.4809,40.90797,00:00:10.0951296
335.4723,916.246,41.29631,00:00:10.1341728
3.887144,933.195,41.73238,00:00:10.1782229
897.3493,48.68789,42.1382,00:00:10.2192684
-0.1611808,942.4568,42.31445,00:00:10.2362853
259.9803,418.4588,42.48546,00:00:10.2543069
904.4262,48.18668,42.90226,00:00:10.2953528
258.3676,426.4059,42.90226,00:00:10.2963535
337.6729,920.8681,43.28435,00:00:10.3373987
256.0258,426.7703,43.28435,00:00:10.3383997
329.3229,924.7009,43.52013,00:00:10.3614246
330.9185,923.5553,43.52013,00:00:10.3614246
328.7367,919.2599,43.52013,00:00:10.3624265
8.256748,947.9749,43.52013,00:00:10.3634287
-5.525253,954.0175,43.52013,00:00:10.3644285
339.8604,929.0391,43.61174,00:00:10.3814482
333.3304,930.171,43.92663,00:00:10.4004699
249.8219,422.3565,43.92663,00:00:10.4014703
9.094902,955.5258,44.12273,00:00:10.4214918
909.9016,59.38935,44.12273,00:00:10.4224931
246.787,430.2704,44.66411,00:00:10.4755527
408.8046,893.2429,44.86801,00:00:10.4945741
915.9374,61.31248,44.86801,00:00:10.4955745
916.6097,58.77707,44.86801,00:00:10.4965764
330.3019,936.371,45.0974,00:00:10.5186008
10.18644,968.1455,45.29266,00:00:10.5386224
331.4428,940.8466,45.50417,00:00:10.5586845
923.7842,57.63783,45.50417,00:00:10.5596461
317.2956,933.1163,45.71374,00:00:10.5876772
923.6097,61.6799,45.71374,00:00:10.5886785
332.2721,942.8626,45.88052,00:00:10.6006919
925.0301,61.84843,45.88052,00:00:10.6016926
322.395,942.2376,46.13872,00:00:10.6247184
932.4789,52.88109,46.50217,00:00:10.6577558
755.9678,483.0694,47.9249,00:00:10.7979124
756.9674,483.2893,48.12571,00:00:10.8179351
940.0855,73.92896,49.09092,00:00:10.9160448
2.433064,1004.381,49.31201,00:00:10.9370680
235.0813,423.3695,49.31201,00:00:10.9370680
927.3276,78.41982,49.52153,00:00:10.9580914
937.1811,77.71524,49.52153,00:00:10.9580914
922.1717,80.54864,49.8952,00:00:10.9951332
921.5933,90.3292,51.12393,00:00:11.1172685
671.9089,454.6811,54.73666,00:00:11.4796742
315.3143,912.4762,0.3323364,00:00:12.0507303
700.3589,434.9502,0.3323364,00:00:12.0517322
498.4742,56.53256,0.3323364,00:00:12.0527336
20.6243,956.906,17.13312,00:00:13.7235951
340.9229,153.2694,17.70354,00:00:13.7806581
756.0316,483.9268,20.10365,00:00:14.0179234
758.5979,487.8122,20.10365,00:00:14.0189238
17.95649,945.5734,20.72345,00:00:14.0789910
22.67199,936.3773,21.53395,00:00:14.1610833
10.87827,933.2376,22.47511,00:00:14.2551884
16.30277,921.5738,24.1102,00:00:14.4183695
9.567296,920.4266,24.1102,00:00:14.5585246
449.9904,856.3843,33.31319,00:00:15.3383952
903.154,29.27523,36.07494,00:00:15.6177068
907.1564,37.39947,37.03801,00:00:15.7148161
358.9382,169.5516,41.70496,00:00:16.1783322
833.76,506.6051,45.68736,00:00:16.5757747
11.63753,916.2596,51.89926,00:00:17.1977705
20.43477,933.6638,52.49258,00:00:17.2603904
516.5451,60.22748,15.30592,00:00:19.5399312
254.9514,428.0969,40.88058,00:00:22.0958932
246.5154,431.8129,58.73134,00:00:23.8818832
412.9405,880.0576,55.49921,00:00:29.5679193
437.7271,843.0208,56.73062,00:00:41.6871663
