x-Cordinates, y-Cordinates, time left, found_time
226.2274,422.9722,52.57281,00:00:05.2610117
232.871,434.1826,54.16936,00:00:05.4221813
521.0253,29.15137,4.407249,00:00:06.4442623
524.0135,29.34912,4.601151,00:00:06.4692877
531.129,19.09461,4.937714,00:00:06.5003210
541.3757,22.14348,6.167839,00:00:06.6224524
540.0162,30.18438,6.401237,00:00:06.6474754
346.1431,135.1838,13.95779,00:00:07.4002720
349.8419,125.0605,14.38944,00:00:07.4423152
359.1247,134.1669,15.36441,00:00:07.5404204
259.2853,397.2036,20.57691,00:00:08.0609686
509.7728,51.94917,20.7921,00:00:08.0839927
505.1283,55.72026,21.3812,00:00:08.1430561
262.1572,408.6845,22.18958,00:00:08.2231398
542.4141,43.4607,23.37915,00:00:08.3503447
536.5362,65.39256,24.09991,00:00:08.4244224
548.2007,54.29161,24.09991,00:00:08.4244224
374.3337,160.6774,24.35868,00:00:08.4434430
280.7806,418.1895,24.56068,00:00:08.4624627
663.455,427.6136,36.79949,00:00:09.6855368
319.2029,903.5787,39.00307,00:00:09.9047673
687.6615,434.0184,39.55787,00:00:09.9608254
286.6523,422.4925,39.55787,00:00:09.9618266
284.9457,422.3468,39.79728,00:00:09.9838504
286.2976,427.1984,39.79728,00:00:09.9848516
286.2474,415.2132,39.79728,00:00:09.9848516
328.6787,909.5404,40.20855,00:00:10.0248938
694.5377,437.8639,40.20855,00:00:10.0258954
282.1925,429.1609,40.20855,00:00:10.0268963
386.8662,863.8848,40.34155,00:00:10.0419119
275.357,416.5673,40.7382,00:00:10.0849560
335.5538,916.1641,41.34573,00:00:10.1430184
3.869547,933.2015,41.80126,00:00:10.1880654
-0.1429607,942.3848,42.36134,00:00:10.2491294
897.3936,48.45054,42.36134,00:00:10.2501322
259.9592,418.4601,42.36134,00:00:10.2511329
258.4742,426.3171,42.50085,00:00:10.2621437
5.630693,947.548,43.15713,00:00:10.3242114
-3.00432,954.3734,43.53896,00:00:10.3612480
256.0373,426.7235,43.95924,00:00:10.4022917
9.101403,955.5349,44.197,00:00:10.4253164
408.7454,893.168,44.81288,00:00:10.4873817
10.20548,968.2075,45.4,00:00:10.5444417
249.7886,422.4103,47.56752,00:00:10.7616709
2.470037,1004.345,49.37527,00:00:10.9428633
315.2109,912.9606,54.97691,00:00:11.5024542
319.072,935.092,57.41203,00:00:11.7457107
326.099,941.0269,58.60567,00:00:11.8688413
235.5868,421.6052,59.40244,00:00:11.9449209
514.7183,59.97076,0.5709076,00:00:12.0650480
332.4321,942.7435,3.159889,00:00:12.3253223
331.5269,940.7977,3.347626,00:00:12.3411713
755.941,484.2154,3.347626,00:00:12.3421723
757.6199,481.9516,3.607117,00:00:12.3681993
758.4107,482.9813,3.775009,00:00:12.3852179
331.3847,935.6412,4.212952,00:00:12.4272644
761.0844,492.7195,4.365768,00:00:12.4432791
335.8318,931.4398,4.766365,00:00:12.4863260
335.3705,928.4764,5.191971,00:00:12.5243665
331.6898,924.0662,5.774551,00:00:12.5834272
329.865,922.3371,5.99929,00:00:12.6064531
342.0873,916.1234,6.757538,00:00:12.6815305
19.65785,960.6267,7.564438,00:00:12.7616161
328.9041,915.4603,8.163239,00:00:12.8316894
19.08981,947.141,8.768951,00:00:12.8827454
25.07383,934.6193,9.776169,00:00:12.9836224
14.54191,934.0331,10.17116,00:00:13.0226642
26.57268,928.3531,10.60577,00:00:13.0657107
919.5892,92.83556,10.95929,00:00:13.1007460
14.06036,923.1251,11.1537,00:00:13.1217691
14.4196,920.9326,11.36084,00:00:13.1407885
921.7894,80.0073,11.60522,00:00:13.1658148
920.2438,76.59718,11.79762,00:00:13.1848354
446.9958,859.235,11.98515,00:00:13.2038554
13.84494,914.0768,12.18405,00:00:13.2238766
440.8994,876.8499,13.00041,00:00:13.3059644
935.32,71.7732,13.59351,00:00:13.3649807
944.144,77.87668,13.80113,00:00:13.3860014
410.7682,878.1333,15.94836,00:00:13.6022556
670.6239,456.1632,20.96471,00:00:14.1089398
352.8598,176.4323,21.95932,00:00:14.2050407
336.4822,145.2525,31.40904,00:00:15.1460345
699.3182,428.2203,10.79665,00:00:19.0930022
899.3519,63.73972,22.56485,00:00:20.2643019
917.9589,54.84022,48.56995,00:00:22.8640471
918.6291,58.77385,48.96202,00:00:22.9030886
928.2761,57.97826,48.96202,00:00:22.9040887
924.4844,63.65255,49.36136,00:00:22.9431299
924.1824,65.08957,49.55251,00:00:22.9631523
918.2462,77.50083,50.95891,00:00:23.1022976
265.4924,438.5932,52.19754,00:00:23.2264291
245.0923,429.5669,1.397064,00:00:30.1479211
265.1342,443.8837,3.358002,00:00:30.3451294
907.2144,39.41256,6.78656,00:00:30.6868124
903.1129,28.84707,8.409058,00:00:30.8489827
814.663,501.0396,37.5491,00:00:33.7643557
943.2982,63.36852,55.78616,00:00:41.5885283
