x-Cordinates, y-Cordinates, time left, found_time
207.6626,212.2593,29.8467,00:00:02.9978135
218.1673,218.8578,31.14935,00:00:03.1219264
198.0107,147.837,41.08619,00:00:04.1178304
209.7856,154.1919,42.47329,00:00:04.2619616
218.3333,172.4197,44.13701,00:00:04.4211064
236.4606,177.3165,46.53028,00:00:04.6613234
270.0879,171.9481,49.64869,00:00:04.9796125
268.6736,173.5691,49.64869,00:00:04.9796125
114.7748,352.2159,50.12138,00:00:05.0346633
283.5726,157.7568,51.14917,00:00:05.1277478
284.1438,160.9895,51.14917,00:00:05.1287477
306.0555,149.6064,53.93192,00:00:05.4049989
141.426,381.1473,54.29705,00:00:05.4400314
150.6342,383.5359,54.96836,00:00:05.5140979
329.204,153.5416,55.94219,00:00:05.6041809
232.9367,182.7903,56.48898,00:00:05.6662377
239.1444,181.4316,57.34679,00:00:05.7443077
225.582,194.5938,57.44805,00:00:05.7563180
225.2341,204.0928,58.74946,00:00:05.8844360
239.9333,201.4642,59.09464,00:00:05.9194688
248.6419,210.8149,0.7327347,00:00:06.0916238
251.5058,214.8528,1.248699,00:00:06.1426690
108.3437,374.087,5.854088,00:00:06.6201035
130.5733,414.971,13.14632,00:00:07.3265302
123.8526,392.7815,13.53471,00:00:07.3645654
105.0298,626.9586,14.06988,00:00:07.4186154
112.9538,638.3562,16.25031,00:00:07.6362598
101.3897,655.7451,16.72391,00:00:07.7013205
125.982,651.992,18.58216,00:00:07.8854865
109.8572,668.8704,18.58216,00:00:07.8864879
109.6749,669.8534,18.58216,00:00:07.8864879
283.0403,150.7874,23.92271,00:00:08.4049589
136.3238,338.3573,24.05668,00:00:08.4289819
156.0565,365.7931,28.67086,00:00:08.8879413
834.4318,116.1723,30.12923,00:00:09.0330731
839.1599,137.7173,31.8777,00:00:09.2022275
122.4055,633.4951,32.03111,00:00:09.2192430
123.5131,629.6816,32.1963,00:00:09.2372588
124.3884,619.1943,32.79686,00:00:09.3013166
842.5157,149.4113,33.02576,00:00:09.3183333
135.5882,631.7811,36.48215,00:00:09.6616459
168.4563,373.5698,44.46365,00:00:10.4603696
162.5616,390.334,45.06879,00:00:10.5234280
637.5023,840.8776,47.83803,00:00:10.7986790
648.7596,841.9402,48.92023,00:00:10.9077759
645.7615,864.8586,50.50735,00:00:11.0669217
833.3484,98.79417,3.890839,00:00:12.4051408
89.7094,660.5964,3.890839,00:00:12.4061416
275.2696,179.2592,5.285004,00:00:12.5452549
100.6898,676.6617,5.640671,00:00:12.5812873
145.1318,332.8366,5.819313,00:00:12.6103141
96.96927,703.3779,8.555618,00:00:12.8786820
97.05611,711.319,9.303329,00:00:12.9547525
247.7323,190.5116,17.52621,00:00:13.7714955
252.468,208.9251,19.58388,00:00:13.9836868
237.2783,206.8909,20.79797,00:00:14.1047970
638.1561,882.4725,21.68761,00:00:14.1978821
282.5426,214.8823,24.3783,00:00:14.4611213
619.0955,905.5278,24.86871,00:00:14.5051599
633.9457,919.5941,25.60152,00:00:14.5782277
112.885,701.1867,37.14209,00:00:15.7342770
117.5578,703.5222,37.5863,00:00:15.7793185
846.5217,129.1839,49.40363,00:00:16.9633998
850.0335,134.0562,49.87071,00:00:17.0074409
852.4907,132.9747,50.07982,00:00:17.0304604
864.9856,136.5745,56.93494,00:00:17.7273909
869.4146,148.2734,1.237961,00:00:18.1447703
869.6002,136.1936,3.593109,00:00:18.3879927
874.4144,126.6677,6.923737,00:00:18.7433147
907.9815,115.1341,10.52361,00:00:19.0826232
658.327,861.5636,24.88626,00:00:20.5179265
899.2742,92.0079,27.52075,00:00:20.7751602
894.2545,78.88996,28.31018,00:00:20.8612436
689.2274,852.0255,28.31018,00:00:20.8622453
313.1833,139.2291,30.59819,00:00:21.0924542
845.6195,92.31489,33.03595,00:00:21.3438677
705.7947,923.5713,38.78128,00:00:21.9019584
656.6281,878.397,52.83073,00:00:39.5468210
648.2079,894.4341,53.17978,00:00:39.5888586
659.2215,867.8488,55.5005,00:00:39.8060554
658.8972,864.8066,56.14009,00:00:39.8771204
661.3522,909.918,19.83197,00:00:42.2645469
683.9059,908.7933,24.42493,00:00:42.7059460
