x-Cordinates, y-Cordinates, time left, found_time
447.3888,464.5817,3.213158,00:00:06.3236929
459.0591,471.4117,3.753532,00:00:06.3817459
1030.199,692.8055,50.84616,00:00:11.0880947
697.1255,852.6474,59.01212,00:00:11.9059195
618.8087,796.2888,40.16714,00:00:16.0298686
2509.066,1191.292,50.81804,00:00:17.0874806
1003.126,1361.119,51.37521,00:00:17.1435344
2364.61,136.7019,2.760025,00:00:18.2907794
1945.007,88.56061,3.450394,00:00:18.3628454
2368.068,151.9971,4.601089,00:00:18.4679421
2439.034,92.8289,18.33202,00:00:19.8432082
2193.188,695.5531,22.19772,00:00:20.2275624
2515.566,1172.242,25.33156,00:00:20.5468554
2274.65,222.2367,29.75365,00:00:20.9842579
2012.825,1494.817,31.55391,00:00:21.1694289
2206.151,800.6224,36.33261,00:00:21.6428655
1518.515,1314.87,37.80133,00:00:21.7879971
2315.02,1393.447,39.396,00:00:21.9461436
2300.05,1408.417,42.94493,00:00:22.3044731
2110.704,684.2616,55.81654,00:00:23.5892868
2021.491,785.5035,1.535934,00:00:24.1633623
1481.911,814.4807,5.923843,00:00:24.6025815
1622.651,88.24081,7.504974,00:00:24.7627305
1615.511,314.8438,8.44487,00:00:24.8518126
1622.976,99.61966,8.44487,00:00:24.8528122
1518.669,1961.808,10.55811,00:00:25.0730144
1620.251,1643.693,12.05423,00:00:25.2241533
1505.009,1973.473,13.09512,00:00:25.3242459
1026.729,648.1989,15.81534,00:00:25.5904918
1891.509,152.6517,15.9285,00:00:25.6035031
1042.448,650.3148,16.74066,00:00:25.6835775
1619.834,71.24981,17.14514,00:00:25.7286183
1618.446,67.85009,17.5979,00:00:25.7706564
2109.636,711.4287,19.39758,00:00:25.9498210
2109.482,692.4897,21.22043,00:00:26.1329895
1520.257,1994.713,21.35818,00:00:26.1450015
548.9065,1427.839,22.2132,00:00:26.2290794
544.4012,1432.244,22.32123,00:00:26.2420910
1668.027,1089.888,22.83771,00:00:26.2911366
1669.948,1092.825,22.94156,00:00:26.3051505
1196.586,1996.701,24.54529,00:00:26.4642954
1598.624,103.263,26.50223,00:00:26.6644797
1862.847,1966.975,27.40427,00:00:26.7525594
1864.904,1960.914,28.04718,00:00:26.8116144
1544.633,1317.926,28.54327,00:00:26.8636634
1612.554,326.6156,33.83731,00:00:27.3995366
2181.753,784.3771,39.29596,00:00:27.9424773
645.2119,803.9766,42.15671,00:00:28.2259824
1663.488,1078.138,44.4227,00:00:28.4499869
1642.087,66.52148,45.16986,00:00:28.5290599
1564.963,1311.477,45.31689,00:00:28.5450733
424.2783,1122.347,45.73312,00:00:28.5831117
1297.358,1600.581,46.43939,00:00:28.6521722
426.8042,1140.135,47.40292,00:00:28.7492615
1114.956,1058.512,48.22479,00:00:28.8323395
829.3103,2012.338,48.60873,00:00:28.8703731
2022.515,766.8696,49.98654,00:00:29.0075002
1264.505,1600.281,51.52722,00:00:29.1626425
819.0419,2060.235,54.76776,00:00:29.4939471
1021.418,1982.602,55.56967,00:00:29.5720190
1371.907,1841.249,57.73737,00:00:29.8052333
1187.294,2006.399,58.8392,00:00:29.9003203
1657.113,1086.681,59.59225,00:00:29.9763917
727.0278,2378.902,0.7279358,00:00:30.0844905
781.4897,2097.899,2.027802,00:00:30.2106059
558.5997,1420.465,3.026581,00:00:30.3106994
404.5946,1153.538,4.587738,00:00:30.4708951
1592.368,2476.632,7.212769,00:00:30.7283460
999.7022,1996.579,9.402466,00:00:30.9477697
747.9661,2111.295,13.23721,00:00:31.3311233
1375.904,1882.204,17.57437,00:00:31.7735293
701.3,2330.257,20.92319,00:00:32.1028318
1380.089,1870.373,21.43604,00:00:32.1508766
1655.195,1127.949,22.98145,00:00:32.3070202
595.6442,2444.687,26.53979,00:00:32.6663620
1172.477,1985.393,34.43771,00:00:33.4530740
1611.014,2447.241,41.26227,00:00:34.1461836
289.5991,1993.192,0.4920044,00:00:36.5169898
252.0638,1953.222,34.63013,00:00:39.9213514
374.2067,466.3716,8.74704,00:00:49.3342294
14.08758,285.9555,16.22775,00:00:50.0794503
503.1663,57.57016,18.02411,00:00:50.2596154
395.286,506.4306,23.64716,00:00:50.8264538
-8.440022,279.8619,37.11829,00:00:52.1705921
5.891001,264.2812,39.5434,00:00:52.4130138
379.2851,470.6236,47.25781,00:00:53.2080321
88.18549,636.3897,20.73633,00:00:56.5370860
66.82816,639.4433,27.31854,00:00:57.1909509
