x-Cordinates, y-Cordinates, time left, found_time
226.4392,422.809,53.28587,00:00:05.3332944
232.7769,434.2633,54.2037,00:00:05.4303183
521.0629,29.15427,4.281448,00:00:06.4335204
524.0246,29.35815,4.454094,00:00:06.4525428
531.0842,19.12889,4.893051,00:00:06.4945913
541.3899,22.14706,6.045624,00:00:06.6107319
540.0125,30.18622,6.231331,00:00:06.6307565
346.2164,135.1731,13.68497,00:00:07.3736453
349.8636,125.086,13.89064,00:00:07.3946704
359.1308,134.1741,14.8566,00:00:07.4927873
259.238,397.2562,20.44594,00:00:08.0554599
509.9283,52.04213,21.0685,00:00:08.1145315
505.0878,55.76663,21.49553,00:00:08.1665928
258.728,419.4396,22.84824,00:00:08.2917442
249.7901,422.5822,22.84824,00:00:08.2917442
244.9031,426.7622,23.04873,00:00:08.3117667
237.8299,426.8641,23.24638,00:00:08.3318155
542.3791,43.43727,23.48857,00:00:08.3558201
256.3285,427.9204,23.67004,00:00:08.3728409
247.6638,432.8201,23.84515,00:00:08.3908640
252.3076,435.0293,24.06976,00:00:08.4138895
548.1403,54.27567,24.26125,00:00:08.4329119
536.4701,65.33426,24.26125,00:00:08.4329119
374.2142,160.6827,24.65251,00:00:08.4709581
663.4467,427.5271,36.85102,00:00:09.6914171
319.1948,903.5864,38.88143,00:00:09.8946619
687.6573,434.0116,39.69529,00:00:09.9757598
694.5302,437.8404,40.28825,00:00:10.0358296
897.3816,48.46333,42.28938,00:00:10.2350693
417.9724,875.4041,42.87066,00:00:10.2931378
-0.208736,942.3037,43.08976,00:00:10.3151656
904.5983,48.37136,43.25987,00:00:10.3326518
-5.780768,954.0168,44.25149,00:00:10.4327245
440.0925,885.4947,45.29176,00:00:10.5388520
755.9645,483.0872,47.8164,00:00:10.7931560
756.9641,483.3071,48.01512,00:00:10.8131801
756.5347,484.9118,48.01512,00:00:10.8141806
760.5794,496.2642,49.46851,00:00:10.9543475
315.2056,913.4389,50.28644,00:00:11.0364459
325.9236,910.7464,50.48558,00:00:11.0564712
2.228471,1004.315,50.48558,00:00:11.0574717
328.8211,918.0686,51.24517,00:00:11.1325615
332.1236,916.1437,51.44905,00:00:11.1535870
330.1519,924.0656,51.88019,00:00:11.1956376
330.2394,922.8978,51.88019,00:00:11.1966381
338.5202,918.0777,52.28146,00:00:11.2356860
318.4204,934.2943,52.67458,00:00:11.2737301
334.6201,930.9801,52.88371,00:00:11.2957582
337.7115,928.8002,52.88371,00:00:11.2957582
330.9484,935.9796,53.05981,00:00:11.3127763
324.5933,941.4585,53.49602,00:00:11.3568309
331.4875,940.8322,53.49602,00:00:11.3568309
332.3815,942.7957,53.67665,00:00:11.3758532
346.0778,158.4238,59.03717,00:00:11.9154978
356.4865,173.4584,0.6749191,00:00:12.0786960
9.840731,971.7153,7.246872,00:00:12.7324771
19.5378,959.225,8.442703,00:00:12.8526212
9.350245,955.5486,8.864792,00:00:12.8946727
9.501307,948.4408,9.685593,00:00:12.9767681
18.09769,944.5914,9.884521,00:00:12.9967934
24.39521,935.9944,10.81686,00:00:13.1019180
13.35483,933.3574,10.9882,00:00:13.1189378
906.7792,37.7159,12.64943,00:00:13.2751259
11.81286,923.5159,13.02596,00:00:13.3161739
15.92686,922.1204,13.45969,00:00:13.3562223
902.8747,29.404,13.45969,00:00:13.3572243
414.3454,894.8867,16.8765,00:00:13.6956287
9.683972,912.3042,23.03629,00:00:14.3153695
923.4524,56.92821,33.26782,00:00:15.3353430
925.1357,57.63101,33.45621,00:00:15.3543650
915.1062,63.90734,33.64159,00:00:15.3733889
925.372,59.81827,33.64159,00:00:15.3733889
902.4462,72.86018,34.84543,00:00:15.4935315
927.1552,72.59299,35.09195,00:00:15.5175605
925.347,80.0078,35.69308,00:00:15.5780159
924.1277,89.26934,36.47762,00:00:15.6601119
925.1817,94.61072,37.01323,00:00:15.7131743
260.0759,438.6678,43.07123,00:00:16.3152147
514.499,60.16026,49.68047,00:00:16.9800103
931.6514,71.08566,2.421082,00:00:18.2545349
932.2506,54.72568,4.037979,00:00:18.4147267
292.3237,420.9135,9.284454,00:00:18.9383540
290.0492,421.1422,9.463943,00:00:18.9563756
285.9041,423.1836,9.873077,00:00:18.9974239
283.0154,419.6478,10.0726,00:00:19.0174477
282.6392,424.766,10.49133,00:00:19.0594983
279.6531,423.7722,10.68463,00:00:19.0785231
276.19,411.4998,10.86818,00:00:19.0965446
268.3724,411.7314,11.64803,00:00:19.1756371
707.3199,432.6006,20.06447,00:00:20.0164059
389.5066,879.2574,22.09323,00:00:20.2206515
4.053552,930.8609,28.86807,00:00:20.8984918
19.64114,949.1506,55.27994,00:00:23.5386586
941.8651,82.85769,2.476288,00:00:24.2600157
848.9595,495.2986,33.88831,00:00:27.4020137
685.6204,454.5175,38.67535,00:00:27.8797481
448.4085,865.3996,13.04062,00:00:31.3183752
