x-Cordinates, y-Cordinates, time left, found_time
226.4304,422.8834,53.21804,00:00:05.3256515
232.7449,434.2628,54.20147,00:00:05.4237545
521.1048,29.24027,4.191803,00:00:06.4241157
524.0458,29.3825,4.413185,00:00:06.4461397
531.0165,19.09616,4.737991,00:00:06.4821778
541.3863,22.13598,6.008224,00:00:06.6053075
540.0105,30.18797,6.21701,00:00:06.6263291
346.1777,135.194,14.01147,00:00:07.4064205
349.8642,125.0478,14.36866,00:00:07.4422371
359.1226,134.1621,15.37983,00:00:07.5432563
259.2632,397.2668,20.59243,00:00:08.0633910
509.8783,52.0536,21.00807,00:00:08.1054356
505.1832,55.63427,21.38528,00:00:08.1433437
262.0795,408.8096,22.17721,00:00:08.2223373
542.437,43.4254,23.38139,00:00:08.3434632
536.5195,65.33255,24.19503,00:00:08.4243663
548.2128,54.27275,24.19503,00:00:08.4243663
374.3073,160.7345,24.42155,00:00:08.4473925
663.4519,427.5244,36.79913,00:00:09.6856982
319.15,903.5627,38.60477,00:00:09.8658908
687.6547,434.005,39.57371,00:00:09.9629932
287.225,423.531,39.57371,00:00:09.9639929
284.8203,423.2123,39.81432,00:00:09.9870164
285.817,425.2416,39.81432,00:00:09.9870164
286.1591,415.2651,39.81432,00:00:09.9880186
328.6022,909.5533,40.00751,00:00:10.0060382
694.6193,437.8155,40.18628,00:00:10.0240560
386.7758,863.804,40.4089,00:00:10.0460822
282.1005,429.2379,40.4089,00:00:10.0470792
277.8642,416.1697,40.56049,00:00:10.0661016
274.9744,416.2759,40.76775,00:00:10.0861211
336.2532,916.0045,41.15746,00:00:10.1241616
338.2125,921.3489,42.0051,00:00:10.2082498
896.4208,49.98999,42.17716,00:00:10.2262691
259.8282,418.2952,42.35381,00:00:10.2432866
259.5234,425.5531,42.54481,00:00:10.2623075
-0.4646657,942.6005,42.97862,00:00:10.3053528
904.6305,48.05397,43.16293,00:00:10.3243728
255.9174,427.2382,43.16293,00:00:10.3253731
331.2635,923.9335,43.4093,00:00:10.3483978
340.0118,928.5861,43.4093,00:00:10.3483978
328.2175,919.9185,43.4093,00:00:10.3493994
329.2258,924.844,43.4093,00:00:10.3504001
249.8533,422.2212,43.58636,00:00:10.3664169
333.0975,929.6013,43.80595,00:00:10.3884400
-4.487813,954.0544,44.17439,00:00:10.4254796
912.5557,57.96587,44.39275,00:00:10.4465012
917.0089,60.6233,44.97416,00:00:10.5035636
916.4203,59.48189,44.97416,00:00:10.5045633
922.4606,56.43386,45.59583,00:00:10.5666286
922.9787,61.33726,45.8188,00:00:10.5886527
234.3042,425.1965,45.8188,00:00:10.5896551
329.4439,936.5731,45.98769,00:00:10.6056704
925.1747,62.29265,45.98769,00:00:10.6066720
931.3394,53.83471,46.36135,00:00:10.6437098
754.6949,481.3933,47.61045,00:00:10.7668410
755.3358,485.2356,47.97559,00:00:10.8038797
316.7362,929.3111,48.2149,00:00:10.8269038
757.1023,485.665,48.2149,00:00:10.8279059
331.4433,940.7709,49.21764,00:00:10.9270097
761.5956,497.6586,49.77466,00:00:10.9840699
332.3435,942.8207,50.75307,00:00:11.0831745
320.9395,941.1185,52.38429,00:00:11.2443460
11.59247,1007.729,3.600166,00:00:12.3665307
8.680888,967.1405,7.795853,00:00:12.7869737
21.14848,957.3748,8.615326,00:00:12.8690602
8.533755,955.2687,9.187805,00:00:12.9251204
17.82958,951.1221,9.187805,00:00:12.9261211
356.1409,170.3549,9.996887,00:00:13.0052032
23.69724,933.0935,11.14375,00:00:13.1243285
903.0327,29.34585,16.35886,00:00:13.6436935
694.2238,424.0142,16.35886,00:00:13.6446945
906.3373,36.49546,17.19855,00:00:13.7257810
936.186,65.04255,20.81917,00:00:14.0894764
921.679,85.9432,24.98315,00:00:22.9029358
338.0995,165.9078,28.99567,00:00:23.3095353
318.9167,912.0312,34.57091,00:00:23.8616933
661.6988,459.6442,35.20679,00:00:23.9260060
451.7952,881.2813,36.19406,00:00:24.0221090
937.9026,84.2056,44.76868,00:00:24.8800144
425.3385,887.0164,46.35834,00:00:25.0421850
448.2263,863.9213,50.00475,00:00:25.4045674
245.9808,438.043,53.61833,00:00:25.7651400
248.4865,430.484,53.61833,00:00:25.7661479
267.0671,451.9414,56.20898,00:00:26.0244142
15.84621,912.3502,16.20505,00:00:28.0285283
13.23879,922.6448,17.02171,00:00:28.1086132
17.03978,922.9781,17.21973,00:00:28.1306367
385.6943,895.607,31.01274,00:00:29.5083045
924.8159,93.13667,52.17863,00:00:31.6232611
926.8864,66.19423,55.01935,00:00:31.9065598
821.4997,522.7183,26.60861,00:00:35.0667294
509.6124,59.97733,26.99612,00:00:35.1047693
23.5512,947.5695,51.99612,00:00:43.6091007
16.87351,944.0862,52.20053,00:00:43.6301223
9.790498,938.5028,52.96136,00:00:43.7060489
0.693535,933.0341,53.96735,00:00:43.8045689
