x-Cordinates, y-Cordinates, time left, found_time
561.4189,25.7771,0.01095581,00:00:16.0118572
559.725,3.585367,0.2146606,00:00:16.0318779
246.1463,362.6676,20.62738,00:00:18.3702746
473.4657,456.8438,25.99621,00:00:18.9056144
479.7859,461.1582,26.8367,00:00:18.9887570
473.8759,420.7254,32.015,00:00:19.5056001
479.4023,437.4536,33.79308,00:00:19.6845921
489.5852,554.1765,38.56972,00:00:20.1663972
508.1325,385.1867,34.6412,00:00:25.7723177
507.1418,385.1503,34.6412,00:00:25.7723177
259.0568,393.3917,41.13042,00:00:26.4268372
521.972,501.6403,59.69701,00:00:28.2843598
486.8063,64.317,17.41789,00:00:30.0510770
1925.253,852.587,34.64108,00:00:31.7756606
1947.369,859.8784,36.54469,00:00:31.9748583
277.1246,391.5504,42.33076,00:00:32.5439869
266.4757,396.4114,42.80214,00:00:32.5900324
240.6226,413.5205,46.14401,00:00:32.9270984
516.2365,425.4904,46.14401,00:00:32.9280986
240.1955,419.3851,46.26935,00:00:32.9531235
253.4214,444.3273,47.90536,00:00:33.1067843
553.2755,409.6201,49.95625,00:00:33.3079795
1880.386,899.3572,50.49785,00:00:33.3640347
232.7004,469.903,51.03839,00:00:33.4160855
555.7987,91.79728,52.20679,00:00:33.5342010
232.4274,487.1147,52.64403,00:00:33.5762413
2153.369,423.2959,57.81572,00:00:34.0916026
522.3363,-0.7054775,1.820328,00:00:34.4915846
284.8558,423.9079,2.919174,00:00:34.6185153
2327.774,117.6512,3.185776,00:00:34.6385348
296.1458,409.9117,4.776001,00:00:34.7956877
532.1332,396.6919,11.15144,00:00:35.4267710
2358.664,1035.062,21.46744,00:00:36.4651469
2374.281,1053.007,23.95111,00:00:36.7073818
559.5622,458.9188,24.96313,00:00:36.8094822
573.1255,454.2302,26.02505,00:00:36.9135819
508.4184,78.28245,40.54593,00:00:38.3676828
497.8,79.17589,41.19598,00:00:38.4307660
2347.366,156.9846,46.92767,00:00:39.0048517
2359.164,161.897,48.22012,00:00:39.1328160
2229.423,404.6331,56.55396,00:00:39.9687091
2332.311,441.3393,0.4222717,00:00:40.3522582
2342.786,445.1517,0.5252075,00:00:40.3683821
569.3923,47.96478,1.526367,00:00:40.4653701
2335.858,417.2881,3.020538,00:00:40.6138088
2350.124,406.9034,4.225189,00:00:40.7329243
2355.694,361.6273,8.990631,00:00:41.2207539
2188.6,464.501,14.7218,00:00:41.7893427
548.7678,-3.568292,15.56134,00:00:41.8699472
2336.34,122.2661,36.75763,00:00:43.9887076
1234.81,1471.71,41.00443,00:00:44.4121211
1234.085,1481.244,41.37076,00:00:44.4601651
1234.015,1488.09,41.80573,00:00:44.4992039
2358.105,129.0313,56.03854,00:00:45.9170794
2356.409,128.7662,56.03854,00:00:45.9180791
2524.386,1116.885,1.123169,00:00:46.4353406
2480.044,1068.735,7.787903,00:00:47.0913453
2323.724,396.7978,8.319916,00:00:47.1462752
2323.007,375.5749,9.983246,00:00:47.3144374
515.3348,427.4657,12.13727,00:00:47.5267227
2438.812,1040.182,12.79913,00:00:47.5917869
2429.283,1042.975,13.59625,00:00:47.6718648
1910.392,907.7277,20.12207,00:00:48.3315044
2186.517,450.3434,24.14856,00:00:48.7308928
2188.841,432.392,25.93634,00:00:48.9070641
2413.33,1053.283,28.64282,00:00:49.1764836
2421.115,1064.778,29.74826,00:00:49.2875922
2429.913,1062.661,30.59958,00:00:49.3712104
1933.534,881.6602,36.31879,00:00:49.9502112
2308.325,486.3665,36.91129,00:00:50.0112704
190.6031,439.9833,43.54913,00:00:50.6678463
194.3281,426.2423,43.81186,00:00:50.6928702
2337.159,492.9004,11.16101,00:00:53.4366800
2334.348,485.1771,11.5304,00:00:53.4687112
2311.041,326.2834,15.56039,00:00:53.8699610
2322.439,423.7993,17.54965,00:00:54.0681536
2326.926,420.7998,17.92123,00:00:54.1061916
2320.797,412.9879,18.81488,00:00:54.1935614
2414.722,1024.779,31.13275,00:00:55.4293122
2364.001,1013.54,48.35178,00:00:57.1513383
2395.043,1114.11,58.04434,00:00:58.1178150
2350.511,999.0731,10.53864,00:00:59.3678870
329.8003,399.9003,17.22925,00:01:00.0358784
559.2344,-14.92026,28.0433,00:01:01.1170087
499.6649,468.8212,46.77673,00:01:02.9900063
2393.487,1081.682,12.00006,00:01:05.5200539
2339.753,501.8809,25.21826,00:01:06.8341371
202.6251,449.4539,26.5813,00:01:06.9720244
2460.656,1095.506,32.01978,00:01:13.5160619
2401.707,1071.544,39.41083,00:01:14.2647764
317.4729,422.6275,47.02301,00:01:15.0161447
299.2607,418.2008,48.5481,00:01:15.1701832
297.3176,407.9041,49.32672,00:01:15.2482588
300.1805,405.4434,49.32672,00:01:15.2482588
1267.571,1541.911,11.43488,00:01:23.4587968
1322.056,1603.506,13.12939,00:01:23.6309634
