x-Cordinates, y-Cordinates, time left, found_time
226.2274,422.9722,52.57758,00:00:05.2623089
232.8544,434.249,54.40089,00:00:05.4454759
521.0768,29.17539,4.169418,00:00:06.4233635
524.0235,29.3632,4.364914,00:00:06.4413805
531.0871,19.08861,4.771683,00:00:06.4814176
541.373,22.1484,5.965378,00:00:06.6015264
540.0124,30.18741,6.158089,00:00:06.6225467
346.1431,135.1838,13.98061,00:00:07.4032540
349.8419,125.0605,14.41051,00:00:07.4452620
359.1247,134.1669,15.35036,00:00:07.5423486
259.2853,397.2036,20.60529,00:00:08.0640928
509.7728,51.94917,20.7726,00:00:08.0821082
505.1283,55.72026,21.39407,00:00:08.1431687
262.1572,408.6845,22.20752,00:00:08.2252437
542.4141,43.4607,23.3764,00:00:08.3423507
548.2007,54.29161,24.21059,00:00:08.4254259
536.5362,65.39256,24.21059,00:00:08.4264265
374.3337,160.6774,24.3858,00:00:08.4434429
663.455,427.6136,36.78635,00:00:09.6835695
319.193,903.5502,38.60659,00:00:09.8647328
687.6615,434.0184,39.57674,00:00:09.9618214
286.6523,422.4925,39.57674,00:00:09.9628222
286.2976,427.1984,39.80673,00:00:09.9848437
286.2474,415.2132,39.80673,00:00:09.9858445
284.9457,422.3468,39.80673,00:00:09.9858445
328.6288,909.566,39.98822,00:00:10.0028600
694.5377,437.8639,40.21647,00:00:10.0258795
282.1925,429.1609,40.21647,00:00:10.0268803
386.8662,863.8848,40.39355,00:00:10.0438977
277.8398,416.2202,40.61328,00:00:10.0659170
275.357,416.5673,40.79469,00:00:10.0839336
328.7111,919.5527,41.18587,00:00:10.1229706
335.6194,916.1649,41.18587,00:00:10.1239696
3.869547,933.2015,41.80234,00:00:10.1870260
897.3803,48.52175,42.17008,00:00:10.2260617
-0.1429607,942.3848,42.37165,00:00:10.2450786
259.9592,418.4601,42.37165,00:00:10.2460806
258.4339,426.3838,42.75962,00:00:10.2831148
5.630693,947.548,43.15572,00:00:10.3231495
904.5798,48.22722,43.15572,00:00:10.3241509
256.0315,426.7904,43.15572,00:00:10.3251505
-3.00432,954.3734,43.60598,00:00:10.3681904
249.8167,422.3628,43.77712,00:00:10.3862074
9.101403,955.5349,44.21341,00:00:10.4282456
246.7507,430.231,44.57497,00:00:10.4652791
408.8091,893.2238,44.98932,00:00:10.5043136
10.20548,968.2075,45.38963,00:00:10.5453510
235.0383,423.9102,46.41217,00:00:10.6464432
2.470037,1004.345,49.39516,00:00:10.9437144
514.6927,60.04914,0.6031036,00:00:12.0657432
314.4315,912.4747,7.993256,00:00:12.8044162
328.8467,922.3263,8.396088,00:00:12.8444512
331.3398,922.879,9.209763,00:00:12.9302750
340.0392,914.6717,9.526596,00:00:12.9616434
338.431,928.973,10.59369,00:00:13.0674912
337.4241,930.8289,10.7834,00:00:13.0865090
331.6201,935.187,10.7834,00:00:13.0875098
19.19801,959.1542,10.97935,00:00:13.1045251
331.4963,940.8409,11.40974,00:00:13.1485682
17.85919,944.3629,11.40974,00:00:13.1495675
332.5754,942.8199,11.79738,00:00:13.1876012
819.9146,505.0584,14.17035,00:00:13.4228138
704.9284,434.9958,17.76477,00:00:13.7812834
676.1983,447.2649,20.81061,00:00:14.0855597
246.3466,432.2528,22.90135,00:00:14.3067610
253.7035,441.6292,24.35918,00:00:14.4438844
320.8389,944.0649,29.76921,00:00:14.9823728
357.2192,176.4358,34.76363,00:00:15.4828286
758.2764,501.8382,38.15991,00:00:15.8251392
310.5762,939.6779,38.5508,00:00:15.8631736
418.462,876.0336,42.4077,00:00:16.2465212
439.0695,875.8218,44.60542,00:00:16.4657236
18.05094,923.0002,55.16402,00:00:17.5236817
28.73176,939.9357,56.58124,00:00:17.6640885
12.10537,933.8246,56.58124,00:00:17.6650900
5.919703,927.965,56.8158,00:00:17.6871114
349.7619,164.6405,1.613693,00:00:18.1675453
753.4852,480.9318,29.7796,00:00:20.9832375
752.0488,493.3338,30.01711,00:00:21.0072608
9.531703,909.068,30.39209,00:00:21.0442937
930.5848,101.5615,34.73549,00:00:21.4826916
936.4745,85.71014,36.38396,00:00:21.6468402
49.18992,937.0708,59.98015,00:00:24.0040150
755.2596,452.4785,42.60632,00:00:28.2652342
942.175,66.02616,55.5997,00:00:35.5641483
927.201,60.66701,56.77502,00:00:35.6819841
925.2394,59.14658,57.00732,00:00:35.7059719
939.1287,51.83042,57.18573,00:00:35.7229878
920.0859,50.92721,58.00363,00:00:35.8050628
908.4457,37.76839,59.99701,00:00:36.0072503
902.7559,28.9816,1.16095,00:00:36.1243563
909.4199,56.60799,5.009766,00:00:36.5077055
917.408,69.78042,6.400909,00:00:36.6448310
921.2454,69.54917,6.574677,00:00:36.6628471
925.2737,95.20387,9.380219,00:00:36.9431003
923.9651,98.50922,9.616699,00:00:36.9661225
449.2954,859.8575,41.00217,00:00:40.1049006
