x-Cordinates, y-Cordinates, time left, found_time
392.807,602.3701,41.56292,00:00:09.9009748
43.38839,667.5611,42.76598,00:00:10.1401916
66.08179,674.9762,43.97558,00:00:10.3814102
646.491,196.4214,47.48038,00:00:11.0864909
54.61673,585.3744,7.393883,00:00:17.8051146
30.18948,665.7628,17.98618,00:00:19.9230390
437.1422,666.0849,18.58312,00:00:20.0421484
860.704,810.4528,23.18842,00:00:20.9669872
53.0175,683.0833,39.98984,00:00:24.3232203
635.0869,173.1704,44.18188,00:00:25.1609815
49.54886,561.9174,44.69569,00:00:25.2640750
643.3778,182.3177,44.76791,00:00:25.2790871
49.95228,624.2709,50.67423,00:00:26.4599579
838.4336,798.8797,58.39988,00:00:28.0068313
47.0178,687.2075,49.1785,00:00:38.1612365
146.1227,300.9391,25.55151,00:01:21.4387683
174.8719,279.8568,43.47415,00:01:25.0236294
147.1976,241.8752,29.09079,00:01:34.1441087
50.61612,91.36853,56.48239,00:01:39.6223163
23.8598,98.68844,23.59445,00:01:45.0445024
