x-Cordinates, y-Cordinates, time left, found_time
226.2767,422.9628,52.49719,00:00:05.2548492
232.7769,434.2633,54.31015,00:00:05.4350386
522.5341,29.3941,4.532928,00:00:06.4577253
524.0989,29.6622,4.715103,00:00:06.4757437
529.4041,18.67025,4.715103,00:00:06.4757437
541.8531,22.37239,6.136185,00:00:06.6178949
539.8838,30.25291,6.327698,00:00:06.6369140
347.6893,160.4359,15.31647,00:00:07.5371045
375.453,157.994,37.86013,00:00:09.7944988
319.4687,905.9559,39.08659,00:00:09.9166284
362.8716,169.6985,39.50534,00:00:09.9586722
688.4077,435.4275,39.59738,00:00:09.9736877
692.0612,448.7059,40.06755,00:00:10.0147321
664.7482,421.9238,40.28272,00:00:10.0387571
700.2864,434.1737,41.07414,00:00:10.1148376
12.03853,918.2303,41.72433,00:00:10.1789043
11.90543,924.1238,42.26563,00:00:10.2329616
13.12613,924.4946,42.26563,00:00:10.2339792
899.7364,45.43165,42.72394,00:00:10.2800111
902.3386,57.44604,43.29109,00:00:10.3350706
918.231,60.19671,45.29461,00:00:10.5342793
919.4713,54.99749,45.29461,00:00:10.5352812
919.1549,63.1656,45.50365,00:00:10.5563055
923.036,46.22381,45.72884,00:00:10.5793278
925.6414,61.16927,46.09526,00:00:10.6143655
935.0364,65.19693,47.33408,00:00:10.7404986
756.344,481.7215,47.90965,00:00:10.7965579
336.8585,888.6168,50.08608,00:00:11.0147893
348.6307,139.6586,51.28451,00:00:11.1339143
230.0604,423.7115,52.27315,00:00:11.2350205
331.2504,910.3678,52.87579,00:00:11.2940820
351.2753,125.3412,52.87579,00:00:11.2940820
315.656,911.5873,53.2853,00:00:11.3351255
329.6007,913.1201,53.51403,00:00:11.3581493
244.4969,434.2115,54.08551,00:00:11.4142107
247.0982,432.9227,54.29971,00:00:11.4362335
250.0992,423.8427,54.5089,00:00:11.4572557
254.6481,424.5908,54.93382,00:00:11.4993004
254.5709,426.6942,54.93382,00:00:11.5003004
262.1334,424.9938,55.91734,00:00:11.5974034
970.3112,77.40734,58.12639,00:00:11.8180334
512.3632,51.50989,1.097252,00:00:12.1153479
514.8209,57.00774,1.891113,00:00:12.1954317
25.51493,926.84,4.112968,00:00:12.4176657
27.86975,943.0164,5.149651,00:00:12.5367924
18.54778,941.7516,5.890968,00:00:12.5988580
359.0835,130.9705,6.241043,00:00:12.6358967
15.01925,948.7137,6.693954,00:00:12.6789424
24.60847,959.6428,6.916313,00:00:12.7079734
14.24076,968.4844,8.281876,00:00:12.8391114
332.5695,924.8101,13.48006,00:00:13.3549871
333.5859,924.1999,13.48006,00:00:13.3559964
336.0345,924.449,13.72131,00:00:13.3790112
334.1322,925.3871,13.72131,00:00:13.3790112
325.2178,938.0616,14.72145,00:00:13.4781161
330.1591,937.4645,14.72145,00:00:13.4791177
330.9631,941.1782,15.12195,00:00:13.5199587
330.8911,943.3925,15.29974,00:00:13.5369777
332.0813,942.7339,15.29974,00:00:13.5379774
339.1979,942.9315,15.72748,00:00:13.5790209
753.2339,487.649,18.32635,00:00:13.8391135
730.1855,498.8193,20.29008,00:00:14.0361443
432.4963,871.762,21.70944,00:00:14.1772891
1.17848,932.4149,22.08353,00:00:14.2153297
0.01957352,933.7016,22.32733,00:00:14.2393557
431.4054,864.1507,23.72516,00:00:14.3785021
3.083466,945.2357,23.72516,00:00:14.3795040
-0.2190109,955.0796,26.27974,00:00:14.6347729
389.3297,906.5595,26.7337,00:00:14.6798207
7.492834,956.5554,28.13272,00:00:14.8199694
289.7344,415.9225,31.91245,00:00:15.1993695
285.875,418.8181,32.30293,00:00:15.2384110
282.5967,421.0678,32.68954,00:00:15.2764718
281.0106,420.3357,32.76552,00:00:15.2974723
903.1769,28.90078,32.76552,00:00:15.2984726
277.6351,413.1641,32.9789,00:00:15.3144903
278.5523,423.4824,33.28391,00:00:15.3395197
906.9075,37.86152,33.8983,00:00:15.4005816
265.7315,417.5631,34.29179,00:00:15.4396222
269.3041,398.6626,34.91843,00:00:15.5026885
832.4789,523.5619,35.77946,00:00:15.5947861
916.8967,69.32199,37.29431,00:00:15.7379368
254.77,419.5482,38.49957,00:00:15.8580639
906.1891,80.15837,38.49957,00:00:15.8590645
929.6366,87.47522,39.44196,00:00:15.9541653
924.7618,90.11514,39.44196,00:00:15.9551657
251.3732,406.2745,40.46553,00:00:16.0542712
696.844,424.9082,45.87729,00:00:16.5958422
381.376,889.3729,52.28088,00:00:17.2355205
405.1286,870.6552,54.69713,00:00:17.4777752
5.875139,986.404,55.09203,00:00:17.5178170
767.6786,488.4287,56.09404,00:00:17.6179220
941.055,71.89475,7.730362,00:00:18.7831515
543.0025,56.83985,9.461288,00:00:18.9542593
547.7172,57.39896,9.86937,00:00:18.9953042
547.2454,50.739,10.29277,00:00:19.0373501
520.3184,40.79909,18.47043,00:00:19.8563629
