x-Cordinates, y-Cordinates, time left, found_time
226.4392,422.809,53.30881,00:00:05.3357174
232.7769,434.2633,54.23668,00:00:05.4318183
521.0629,29.15427,4.294312,00:00:06.4349708
524.0246,29.35815,4.471016,00:00:06.4519901
531.0842,19.12889,4.911858,00:00:06.4969596
541.3899,22.14706,6.10778,00:00:06.6150894
540.0125,30.18622,6.270302,00:00:06.6321086
346.1724,135.1072,14.06808,00:00:07.4111379
349.8369,125.0313,14.47882,00:00:07.4541821
359.1033,134.1379,15.49164,00:00:07.5582939
509.7009,52.04634,20.66048,00:00:08.0742949
259.2757,397.2126,20.66048,00:00:08.0752955
262.1682,408.6388,22.29987,00:00:08.2374670
542.4491,43.39414,23.27164,00:00:08.3335688
536.4421,65.37955,24.05005,00:00:08.4114346
548.2349,54.22115,24.05005,00:00:08.4124347
374.3238,160.6674,24.46342,00:00:08.4524784
663.4225,427.5812,36.8849,00:00:09.6942432
319.1834,903.5582,38.67544,00:00:09.8724303
687.6519,434.0048,39.70637,00:00:09.9765406
287.1283,424.9472,39.70637,00:00:09.9775428
287.0204,422.7971,39.70637,00:00:09.9775428
286.2187,415.1739,39.88291,00:00:09.9935593
328.5392,909.5102,40.10196,00:00:10.0155825
283.6228,424.2747,40.10196,00:00:10.0165825
694.5941,437.8489,40.29861,00:00:10.0356019
282.1503,429.1775,40.29861,00:00:10.0366043
386.6758,863.6795,40.47838,00:00:10.0536218
277.9215,416.2138,40.70185,00:00:10.0756459
275.0057,416.3127,40.88513,00:00:10.0946649
336.1324,916.1659,41.28707,00:00:10.1347083
338.2148,921.3633,42.06979,00:00:10.2127904
896.4863,49.88727,42.06979,00:00:10.2127904
259.9094,418.3239,42.47514,00:00:10.2538327
259.5818,425.4627,42.66615,00:00:10.2728548
-0.4264918,942.6291,43.07483,00:00:10.3128966
255.893,427.2115,43.30956,00:00:10.3369211
329.1946,924.8685,43.48353,00:00:10.3549404
331.2874,923.9221,43.48353,00:00:10.3549404
340.0943,928.5999,43.48353,00:00:10.3559402
333.0932,929.6568,43.85425,00:00:10.3949817
249.8558,422.2087,43.85425,00:00:10.3959829
-4.561742,954.0962,44.25952,00:00:10.4330228
245.8442,430.6346,44.67269,00:00:10.4740657
329.5062,936.6032,45.22047,00:00:10.5321266
331.4287,940.8043,45.7109,00:00:10.5801896
332.2706,942.8644,45.79983,00:00:10.5931915
234.3475,425.206,45.79983,00:00:10.5941925
754.6836,481.4821,47.66768,00:00:10.7753843
755.3352,485.2798,48.30029,00:00:10.8374502
321.0099,940.1515,0.659111,00:00:12.0717538
514.5468,60.72825,0.9068375,00:00:12.0967804
325.884,921.0376,2.298599,00:00:12.2359266
10.03878,1005.857,3.889755,00:00:12.3950751
7.174549,965.7582,8.096405,00:00:12.8155183
22.55981,956.8001,8.670456,00:00:12.8735680
19.08153,951.509,9.092545,00:00:12.9156118
8.402497,955.076,9.092545,00:00:12.9166131
10.97426,945.3483,9.908997,00:00:13.0025513
15.25236,938.9485,10.50409,00:00:13.0626142
21.84994,932.998,11.10503,00:00:13.1216763
24.41888,933.8535,11.20537,00:00:13.1336887
2.500662,933.6014,11.44162,00:00:13.1547112
16.5918,923.4686,12.04272,00:00:13.2157758
13.04951,915.6376,12.82474,00:00:13.2918561
14.65975,914.6054,13.0668,00:00:13.3168827
825.7681,504.6185,14.25943,00:00:13.4340060
932.3693,55.39839,16.49341,00:00:13.6569777
355.6508,170.9049,17.08655,00:00:13.7150398
921.2211,52.54375,17.68842,00:00:13.7768428
924.6653,63.68471,18.27744,00:00:13.8349058
919.1876,61.27252,18.27744,00:00:13.8349058
912.7938,49.98116,18.62521,00:00:13.8719436
909.8714,50.64736,19.06319,00:00:13.9139889
906.9598,36.79084,19.65616,00:00:13.9730507
903.0121,29.41791,20.26688,00:00:14.0331147
449.0195,864.6379,23.08563,00:00:14.3155353
755.9155,502.5875,23.26997,00:00:14.3335555
757.4184,484.6866,23.26997,00:00:14.3345562
450.1335,888.0515,25.49408,00:00:14.5577909
425.501,877.3405,26.09744,00:00:14.6168545
404.1609,887.4897,29.05772,00:00:14.9131680
665.7772,454.8269,43.67636,00:00:16.3757120
337.9657,167.8085,44.28616,00:00:16.4377755
940.6786,68.31574,54.69693,00:00:17.4778794
939.1133,82.78922,56.46606,00:00:17.6580687
927.0872,59.17197,23.09334,00:00:20.3212919
934.0676,65.9463,24.0479,00:00:20.4143908
929.9666,79.86185,24.6794,00:00:20.4764558
925.4926,88.27934,25.45869,00:00:20.5545389
248.2254,429.6329,31.67793,00:00:21.1771967
701.1987,400.1148,49.89069,00:00:22.9986716
324.9527,904.8613,53.66306,00:00:23.3756147
321.1858,904.9911,53.8998,00:00:23.3996422
486.3651,62.93067,57.31104,00:00:29.7408198
912.4001,91.2398,57.84296,00:00:35.7952181
310.0446,431.3512,7.863312,00:00:42.7989524
